VESSEL,SPN,BUOY,DATE_HAUL,MaleTanner,FemaleTanner,MaleSnow,FemaleSnow,MaleHybrid,FemaleHybrid,HairCrab,PacificCod,Halibut,GreatSculpin,YellowfinSole,Other
162,125,X31,3/28/2023,3,1,,,,,,,,,1,1 pollock
162,126,X123,3/28/2023,3,,,,,,,1,,,2,ABSC_Y_409
162,127,X104,3/28/2023,3,,,,,,,2,,,,
162,128,X106,3/28/2023,4,,,,,,,2,,,,ADFG_B_257
162,129,X29,3/28/2023,2,,,,,,,2,,,,
162,130,X63,3/28/2023,2,,,,,,,,,,1,
162,131,X117,3/28/2023,7,,,,,,,1,,,,ABSC_Y_398
162,132,X48,3/28/2023,3,,,,,,,1,,,,
162,133,XNICK,3/28/2023,5,,,,,,,,,,,
162,134,X116,3/28/2023,2,,,,,,,1,,,2,ADFG_B_232
162,135,X64,3/28/2023,10,,1,,,,,1,,,,
162,136,XVI,3/28/2023,2,,,,,,,1,,,,ABSC_Y_408
162,137,XJW,3/28/2023,6,,,,,,,2,,,1,
162,138,X75,3/28/2023,2,,,,,,,2,,,1,ADFG_B_243
162,139,XF18,3/28/2023,3,,,,,,,1,,,,
162,140,XDL,3/28/2023,10,,1,,,,,,,,,ADFG_B_233
162,141,X80,3/29/2023,7,,,,,,,1,,,1,ADFG_B_224; 1 pollock
162,142,X47,3/29/2023,,,,,,,,3,,,,
162,143,X43,3/29/2023,2,,,,,,,2,,1,2,ADFG_B_219
162,144,X47,3/29/2023,1,1,,,,,,9,,,3,
162,145,X36,3/29/2023,4,1,,,,,,6,,,,ABSC_Y_378
162,146,XT27,3/29/2023,,,,,,,,4,,,,
162,147,X53,3/29/2023,,,,,,,,5,,,,ADFG_B_246
162,148,X68,3/29/2023,,,,,,,,9,,,1,
162,149,X115,3/29/2023,2,,,,,,,7,,,2,ADFG_B_244
162,150,X93,3/29/2023,1,,,,,,,8,,,3,
162,151,X66,3/29/2023,,,,,,,,7,,,2,ABSC_Y_323
162,152,XX11,3/29/2023,,,,,,,,6,,,2,
162,153,X78,3/29/2023,1,,,,,,,2,,,3,ADFG_B_225
162,154,XL6,3/29/2023,,,,,,,,8,,,,
162,155,XZ14,3/29/2023,,,,,,,,5,,,,
162,156,XZ5,3/29/2023,,,,,,,,3,,,6,ADFG_B_253
162,157,X125,3/29/2023,,,,,,,,3,,,5,
162,158,X22,3/29/2023,1,,,,,,,4,,,5,ABSC_Y_319
162,159,X34,3/29/2023,2,,,,,,,5,,,9,
162,160,X60,3/29/2023,,,,,,,,2,,,2,
162,161,X12,3/30/2023,1,,1,,,,,,1,,1,
162,162,X46,3/30/2023,2,,,,,,,1,,,,ADFG_B_256
162,163,X77,3/30/2023,,,,,,,,,,,,
162,164,X69,3/30/2023,3,,,,,,,1,,,1,
162,165,X31,3/30/2023,2,,,,,,,2,,1,,
162,166,X123,3/30/2023,6,,,,,,,1,,,,ABSC_Y_409
162,167,X104,3/30/2023,5,,1,,,,,1,,,,
162,168,X106,3/30/2023,15,,,,,,,1,,,,ADFG_B_257
162,169,X29,3/30/2023,6,1,1,,,,,3,,,,
162,170,X63,3/30/2023,7,,,,,,,2,,,,
162,171,X117,3/30/2023,11,,,,,,,,,,,ABSC_Y_398
162,172,X48,3/30/2023,3,,,,,,,2,,,,
162,173,XNICK,3/30/2023,4,,1,,,,,,,,,
162,174,X116,3/30/2023,6,,,,,,,,,,,ADFG_B_232
162,175,X65,3/30/2023,3,,,,,,,1,,,,
162,176,XVI,3/30/2023,4,,,,,,,,,,,ABSC_Y_408
162,177,XJW,3/30/2023,4,,1,,,,,,,,,
162,178,X75,3/30/2023,1,,,,,,,1,,,,ADFG_B_243
162,179,XF18,3/30/2023,2,,,,,,,,,,,
162,180,XDL,3/30/2023,1,,,,,,,,,,,ADFG_B_233
162,181,X60,3/31/2023,,,,,,,,4,,,,
162,182,X34,3/31/2023,1,,,,,,,5,,,,
162,183,X22,3/31/2023,1,,,,,,,2,,1,3,ABSC_Y_319
162,184,X125,3/31/2023,6,,,,,,,2,,,1,
162,185,XZ5,3/31/2023,2,,,,,,,4,,,1,ADFG_B_253
162,186,XZ14,3/31/2023,6,,1,,1,,,1,,,,
162,187,XL6,3/31/2023,1,,,,,,1,1,,,3,
162,188,X78,3/31/2023,1,,1,,,,,2,,,,ADFG_B_225
162,189,XX11,3/31/2023,,,,,,,,1,,,5,
162,190,X66,3/31/2023,,,,,,,,3,,,,ABSC_Y_323
162,191,X93,3/31/2023,1,,,,,,,1,,,,1 skate
162,192,X115,3/31/2023,4,,,,,,,1,,,1,ADFG_B_244
162,193,X68,3/31/2023,2,,,,,,,2,,,4,
162,194,X53,3/31/2023,6,,,,,,,2,,,,ADFG_B_246
162,195,XT27,3/31/2023,2,,,,,,,2,,,4,1 skate
162,196,X36,3/31/2023,7,,,,,,,1,,,,ABSC_Y_378
162,197,X47,3/31/2023,4,,,,,,,,,,,
162,198,X43,3/31/2023,5,,1,,,,,1,,,1,ADFG_B_219
162,199,X47,3/31/2023,1,,,,,,,,,,,
162,200,X80,3/31/2023,4,,,,,,,1,,,,ADFG_B_224
162,201,X12,4/1/2023,2,,1,,,,,,,1,,
162,202,X46,4/1/2023,,,,,1,,,4,,,,ADFG_B_256
162,203,X77,4/1/2023,4,1,,,,,,1,,,,
162,204,X69,4/1/2023,1,,,,,,,1,,,,
162,205,X31,4/1/2023,,,,,,,,1,,,1,
162,206,X123,4/1/2023,3,,,,,,,1,,,,ABSC_Y_409; 2 skates
162,207,X104,4/1/2023,3,,,,,,,2,,,,1 skate
162,208,X106,4/1/2023,5,,,,,,,2,,,,ADFG_B_257
162,209,X29,4/1/2023,1,,2,,,,,1,,,,1 skate
162,210,X63,4/1/2023,1,,,,,,,1,,,,
162,211,X117,4/1/2023,,2,,,,,,1,,,,ABSC_Y_398
162,212,X48,4/1/2023,2,1,,,,,,1,,,,
162,213,XNICK,4/1/2023,3,,1,,,,,1,,,,1 skate
162,214,X116,4/1/2023,5,,,,1,,,1,,,,ADFG_B_232
162,215,X164,4/1/2023,1,,3,,,,,3,,,,1 skate
162,216,XVI,4/1/2023,5,,1,,,,,1,,,,ABSC_Y_408
162,217,XJW,4/1/2023,5,,,,,,,1,,,,
162,218,X75,4/1/2023,4,,2,,,,,1,,,,ADFG_B_243
162,219,XF18,4/1/2023,6,,5,,,,,,,,,
162,220,XDL,4/1/2023,5,,,,,,,1,,,,ADFG_B_233
162,221,X80,4/2/2023,,,1,,,,,9,,,11,ADFG_B_224
162,222,X47,4/2/2023,,,,,,,,2,,,3,
162,223,X43,4/2/2023,,,,,,,,5,,,14,ADFG_B_219
162,224,X47,4/2/2023,,,,,,,,5,,,21,
162,225,X36,4/2/2023,,,,,,,,2,,,15,ABSC_Y_378
162,226,XT27,4/2/2023,,,,,,,,1,,,20,
162,227,X53,4/2/2023,,,,,,,,4,,,27,ADFG_B_246
162,228,X68,4/2/2023,,,,,,,,4,1,,2,1 starry flounder; 1 pycnopodia
162,229,X115,4/2/2023,5,,,,,,,3,,1,1,ADFG_B_244
162,230,X93,4/2/2023,,,,,,,,3,,,8,
162,231,X66,4/2/2023,,,,,,,,6,,,16,ABSC_Y_323
162,232,XX11,4/2/2023,,,,,,,,4,,,14,
162,233,X78,4/2/2023,,,,,,,,2,,,18,ADFG_B_225
162,234,XL6,4/2/2023,,,,,,,,1,,,3,
162,235,XZ14,4/2/2023,,,,,,,,1,,,8,
162,236,XZ5,4/2/2023,,,,,,,,7,,,3,ADFG_B_253; 1 pycnopodia
162,237,X125,4/2/2023,,,,,,,,5,,1,7,
162,238,X22,4/2/2023,,,,,,,,8,,,3,ABSC_Y_319
162,239,X34,4/2/2023,,,,,,,,1,,,7,
162,240,X60,4/2/2023,1,,,,,,,2,1,,3,
162,241,X12,4/3/2023,5,,6,,,,,,,,,2 skates
162,242,X46,4/3/2023,1,,1,,,,,2,,,,ADFG_B_256
162,243,X77,4/3/2023,5,,,,,,,2,,,,
162,244,X69,4/3/2023,1,,1,,,,,,,,,
162,245,X31,4/3/2023,,1,2,,1,,,,,,1,
162,246,X123,4/3/2023,4,,,,,,,,,,,ABSC_Y_409
162,247,X104,4/3/2023,3,,,,,,1,,,,,
162,248,X106,4/3/2023,2,,3,,,,,1,,1,,ADFG_B_257
162,249,X29,4/3/2023,1,,1,,,,,2,1,,,
162,250,X63,4/3/2023,4,,,,,,,2,1,,1,
162,251,X117,4/3/2023,1,,,,,,,,,,,ABSC_Y_398
162,252,X48,4/3/2023,,,,,,,,2,,,,
162,253,XNICK,4/3/2023,,,,,,,,1,,,,
162,254,X116,4/3/2023,2,,1,,,,,,,,,ADFG_B_232
162,255,X64,4/3/2023,4,,,,,,,2,,,,
162,256,XVI,4/3/2023,,,,,,,,1,,,,ABSC_Y_408
162,257,XJW,4/3/2023,8,,,,,,,4,,,,
162,258,X75,4/3/2023,5,,1,,,,,2,,,,ADFG_B_243
162,259,XF18,4/3/2023,4,,1,,,,,,,,,
162,260,XDL,4/3/2023,6,,1,,,,,,,,,ADFG_B_233
162,261,X53,4/4/2023,,,,,,,,7,,1,1,ADFG_B_246
162,262,X68,4/4/2023,,,,,,,,9,,,,
162,263,X115,4/4/2023,,,,,,,,3,,,4,ADFG_B_244
162,264,X93,4/4/2023,,,,,,,,8,,,4,
162,265,X66,4/4/2023,,,,,,,,4,,,1,ABSC_Y_323
162,266,XX11,4/4/2023,,,,,,,,2,,,9,1 pycnopodia
162,267,X78,4/4/2023,,,,,,,,3,,,,ADFG_B_225; 5 pycnopodia
162,268,XL6,4/4/2023,,,,,,,,5,,,6,2 pycnopodia
162,269,XZ14,4/4/2023,,,,,,,,4,,,2,
162,270,XZ5,4/4/2023,,,,,,,,2,,,5,ADFG_B_253; 2 pycnopodia
162,271,X125,4/4/2023,1,,,,,,,3,,,2,
162,272,X22,4/4/2023,2,,,,,,,3,,,2,ABSC_Y_319; 2 pycnopodia
162,273,X34,4/4/2023,,,,,,,,3,,,9,
162,274,X60,4/4/2023,1,,,,,,,,,1,4,
162,275,XT27,4/4/2023,,,1,,,,,4,,,4,
162,276,X36,4/4/2023,,,,,,,,5,,,3,ABSC_Y_378
162,277,X47,4/4/2023,,,1,,,,,1,,,,
162,278,X43,4/4/2023,2,,,,,,,,,,,ADFG_B_219
162,279,X47,4/4/2023,9,,,,,,,,,,1,
162,280,X12,4/6/2023,3,,1,,,,,,,,,
162,281,X46,4/6/2023,,,1,,,,,,,,,
162,282,X77,4/6/2023,,,,,,,,,,,,
162,283,X69,4/6/2023,1,,1,,,,,,,,,
162,284,X31,4/6/2023,2,,1,,,,,,,,,
162,285,X123,4/6/2023,2,,,,,,,1,,,,
162,286,X104,4/6/2023,2,,,,,,,,,,,
162,287,X106,4/6/2023,2,,,,,,,1,,,,
162,288,X29,4/6/2023,2,,,,,,,,,,,
162,289,X63,4/6/2023,,,,,,,,,,,,
162,290,X117,4/6/2023,1,,1,,,,,1,,,,
162,291,X48,4/6/2023,,,,,,,,,,,1,
162,292,XNICK,4/6/2023,1,,2,,,,,,,,,
162,293,X116,4/6/2023,1,,,,,,,,,,,
162,294,X64,4/6/2023,1,,,,,,,1,,,,
162,295,XVI,4/6/2023,,,,,,,,,,,,
162,296,XJW,4/6/2023,2,,,,,,,1,1,,,
162,297,X75,4/6/2023,2,,,,,,,,,,,
162,298,XF18,4/6/2023,,,,,,,,1,2,,,
162,299,XDL,4/6/2023,,,,,,,,,,,,
162,300,Chat1,4/5/2023,1,,,,,,,,,,1,X53; ADGF_B_246
162,301,Chat2,4/5/2023,2,,,,,,,,,,4,X68
162,302,Chat3,4/5/2023,,,,,,,,,,,2,X115; ADFG_B_244
162,303,Chat4,4/5/2023,,,,,,,,,,,2,X93
162,304,Chat5,4/5/2023,,,,,,,,,,,1,X66; ABSC_Y_323
162,305,Chat6,4/5/2023,,,,,,,,,,,,XX11
162,306,Chien1,4/5/2023,1,,,,,,,,,,2,X78; ADFG_B_225
162,307,Chien2,4/5/2023,1,,,,,,,1,,,,XL6
162,308,Chien3,4/5/2023,,1,,,,,,1,,,,XZ14
162,309,Chien4,4/5/2023,,,,,,,,,,,,X34
162,310,Chien5,4/5/2023,2,,,,,,,,,,1,X60
162,311,Chien6,4/5/2023,,,,,,,,,,1,4,XT27
